G2,G1,failures,studytime,Medu,Fedu,higher,internet,romantic,G3
18,17,0,2,4,4,1,1,0,19
11,11,0,2,3,1,1,1,0,12
18,18,0,2,4,4,1,1,0,18
11,10,0,2,4,4,1,0,0,11
11,13,0,2,1,1,1,1,1,11
16,16,0,3,4,4,1,1,1,17
17,17,0,2,4,2,1,1,1,18
9,10,3,2,2,1,0,1,1,8
10,10,0,2,3,3,1,1,0,10
10,11,0,2,1,1,1,0,0,11
18,18,0,4,4,2,1,1,1,18
12,11,0,1,0,2,1,1,0,11
12,12,0,3,3,2,1,1,1,12
9,10,0,3,2,3,1,1,0,9
11,14,0,3,2,2,1,0,0,12
13,13,0,2,4,4,1,1,0,14
11,12,0,2,4,4,1,1,0,13
7,8,0,3,3,1,0,0,0,8
15,15,0,4,3,1,1,1,0,15
14,14,0,2,4,4,1,1,0,14
15,14,0,1,3,3,1,1,0,15
13,14,0,3,4,3,1,1,0,13
13,14,0,2,4,4,1,1,0,13
12,13,0,1,3,3,1,1,0,13
15,14,0,2,2,1,1,1,1,16
13,12,0,1,4,4,1,1,0,13
8,9,1,1,1,3,0,1,0,8
11,10,0,4,2,2,1,1,1,12
11,11,0,3,1,1,1,0,1,10
15,15,0,2,4,4,1,1,0,15
16,15,0,3,4,4,1,1,1,16
13,12,0,2,2,1,1,1,1,12
8,8,1,1,2,1,0,1,1,9
7,7,3,2,1,1,1,0,0,8
18,17,0,2,4,2,1,1,0,18
15,14,0,2,2,4,1,1,1,16
14,13,0,1,4,4,1,1,0,14
14,14,0,3,0,2,1,1,0,15
13,13,0,1,4,4,1,1,0,14
11,11,1,2,3,2,1,1,0,11
13,13,0,3,3,3,1,1,1,13
10,11,0,2,4,2,1,1,1,10
8,8,0,2,4,4,1,1,1,8
11,12,0,4,4,0,1,1,0,11
13,12,0,2,1,2,1,1,0,14
13,12,0,2,1,1,1,1,0,12
17,19,0,3,1,1,1,1,0,18
11,11,0,2,4,4,1,1,1,12
12,11,0,3,4,2,1,1,0,14
11,12,0,1,0,2,1,0,0,12
11,10,1,3,2,3,1,1,0,10
11,9,0,3,3,3,1,1,1,11
14,14,0,1,1,1,1,1,1,14
10,9,0,1,2,1,0,0,1,11
11,10,0,2,4,4,1,1,0,11
17,17,0,4,1,1,1,0,0,18
9,8,0,1,1,2,1,0,0,10
